# TradeHub Core Turkish Translations
# Format: source,translated,context (optional)

# Common Labels
Basic Information,Temel Bilgiler,
Status,Durum,
User,Kullanici,
Tenant,Kiralayan,
Organization,Organizasyon,
Description,Aciklama,
Image,Resim,
Details,Detaylar,
Settings,Ayarlar,
Notes,Notlar,
System,Sistem,
System Information,Sistem Bilgileri,
Created By,Olusturan,
Modified By,Duzenleyen,
Save,Kaydet,
Cancel,Iptal,
Submit,Gonder,
Delete,Sil,
Edit,Duzenle,
Print,Yazdir,
Email,E-posta,

# Actions
Add,Ekle,
Remove,Kaldir,
Update,Guncelle,
Search,Ara,
Filter,Filtrele,
Refresh,Yenile,
Export,Disa Aktar,
Import,Ice Aktar,

# Platform Core
Platform,Platform,
Marketplace,Pazaryeri,
Dashboard,Kontrol Paneli,
Configuration,Yapilandirma,
Module,Modul,
Application,Uygulama,
Service,Servis,
Integration,Entegrasyon,

# User Management
User Management,Kullanici Yonetimi,
Role,Rol,
Permission,Yetki,
Access Level,Erisim Seviyesi,
User Role,Kullanici Rolu,
Role Profile,Rol Profili,
User Permission,Kullanici Yetkisi,
Has Role,Rolu Var,
Administrator,Yonetici,
System Manager,Sistem Yoneticisi,

# Tenant Management
Tenant Management,Kiralayan Yonetimi,
Tenant Name,Kiralayan Adi,
Tenant Type,Kiralayan Tipi,
Tenant Status,Kiralayan Durumu,
Tenant Settings,Kiralayan Ayarlari,
Subscription Plan,Abonelik Plani,
Plan Type,Plan Tipi,
Subscription Status,Abonelik Durumu,

# Organization
Organization Name,Organizasyon Adi,
Organization Type,Organizasyon Tipi,
Parent Organization,Ust Organizasyon,
Legal Name,Tescil Adi,
Tax ID,Vergi Numarasi,
Registration Number,Kayit Numarasi,

# Notifications
Notification,Bildirim,
Notifications,Bildirimler,
Notification Type,Bildirim Tipi,
Notification Channel,Bildirim Kanali,
Email Notification,E-posta Bildirimi,
SMS Notification,SMS Bildirimi,
Push Notification,Anlik Bildirim,
In-App Notification,Uygulama Ici Bildirim,
Read,Okundu,
Unread,Okunmadi,
Mark as Read,Okundu Olarak Isaretle,

# Audit & Logging
Audit Log,Denetim Kaydi,
Activity Log,Aktivite Kaydi,
Event,Olay,
Event Type,Olay Tipi,
Timestamp,Zaman Damgasi,
IP Address,IP Adresi,
User Agent,Tarayici Bilgisi,

# Configuration
System Settings,Sistem Ayarlari,
General Settings,Genel Ayarlar,
Default Currency,Varsayilan Para Birimi,
Default Language,Varsayilan Dil,
Default Country,Varsayilan Ulke,
Time Zone,Saat Dilimi,
Date Format,Tarih Formati,
Number Format,Sayi Formati,

# Status Values
Active,Aktif,
Inactive,Pasif,
Draft,Taslak,
Enabled,Etkin,
Disabled,Devre Disi,
Suspended,Askiya Alindi,
Archived,Arsivlendi,
Pending,Beklemede,
Approved,Onaylandi,
Rejected,Reddedildi,

# Common Messages
Required,Zorunlu,
Invalid,Gecersiz,
Success,Basarili,
Error,Hata,
Warning,Uyari,
Info,Bilgi,
Loading,Yukleniyor,
Please wait,Lutfen bekleyin,
No data found,Veri bulunamadi,
Are you sure?,Emin misiniz?,
Yes,Evet,
No,Hayir,

# Validation Messages
This field is required,Bu alan zorunludur,
Invalid email address,Gecersiz e-posta adresi,
Invalid phone number,Gecersiz telefon numarasi,
Value must be greater than zero,Deger sifirdan buyuk olmalidir,
Duplicate entry found,Tekrarlanan kayit bulundu,

# API & Webhooks
API Key,API Anahtari,
API Secret,API Sifresi,
Webhook,Webhook,
Webhook URL,Webhook URL,
Webhook Secret,Webhook Sifresi,
Endpoint,Son Nokta,
Request,Istek,
Response,Yanit,
