# TradeHub Compliance Turkish Translations
# Format: source,translated,context (optional)

# Common Labels
Basic Information,Temel Bilgiler,
Status,Durum,
Description,Aciklama,
Details,Detaylar,
Settings,Ayarlar,
Notes,Notlar,
Save,Kaydet,
Cancel,Iptal,
Submit,Gonder,
Delete,Sil,
Edit,Duzenle,

# Actions
Add,Ekle,
Remove,Kaldir,
Update,Guncelle,
Search,Ara,
Filter,Filtrele,

# KYC
KYC,KYC,
KYC Profile,KYC Profili,
KYC Status,KYC Durumu,
KYC Level,KYC Seviyesi,
KYC Document,KYC Belgesi,
KYC Review,KYC Incelemesi,
KYC Verification,KYC Dogrulamasi,
Identity Verification,Kimlik Dogrulama,
Business Verification,Is Dogrulama,
Address Verification,Adres Dogrulama,

# Documents
Document,Belge,
Documents,Belgeler,
Document Type,Belge Tipi,
Document Number,Belge Numarasi,
Document Date,Belge Tarihi,
Expiry Date,Son Gecerlilik Tarihi,
Issue Date,Duzenleme Tarihi,
Issuing Authority,Duzenleyen Kurum,
Document Status,Belge Durumu,
Document Upload,Belge Yukleme,
Upload Document,Belge Yukle,
Verify Document,Belge Dogrula,
ID Card,Kimlik Karti,
Passport,Pasaport,
Driver License,Surucu Belgesi,
Tax Certificate,Vergi Levhasi,
Trade License,Ticaret Belgesi,
Chamber of Commerce Registration,Ticaret Odasi Kaydi,

# E-Invoice (Turkish E-Fatura)
E-Invoice,E-Fatura,
E-Invoice (Turkish E-Fatura),E-Fatura (Turkiye),
E-Invoice Enabled,E-Fatura Aktif,
E-Invoice Status,E-Fatura Durumu,
E-Invoice UUID,E-Fatura UUID,
E-Invoice Number,E-Fatura Numarasi,
E-Invoice Date,E-Fatura Tarihi,
E-Invoice PDF,E-Fatura PDF,
E-Archive (E-Arsiv),E-Arsiv,

# Invoice
Invoice,Fatura,
Invoice Type,Fatura Tipi,
Invoice Number,Fatura Numarasi,
Invoice Date,Fatura Tarihi,
Invoice Status,Fatura Durumu,
Paper Invoice,Kagit Fatura,
Queued,Kuyrukta,
Sent,Gonderildi,
Accepted,Kabul Edildi,
Cancelled,Iptal Edildi,
Error,Hata,

# Tax Compliance
Tax Compliance,Vergi Uyumu,
Tax ID,Vergi Numarasi,
Tax Office,Vergi Dairesi,
Tax ID Type,Vergi No Tipi,
TCKN,T.C. Kimlik No,
VKN,Vergi Kimlik No,
Tax Rate,Vergi Orani,
Tax Exemption,Vergi Muafiyeti,
Withholding Tax,Stopaj Vergisi,
VAT,KDV,

# Regulatory
Regulatory,Duzenleyici,
Compliance Status,Uyum Durumu,
Compliance Check,Uyum Kontrolu,
Compliance Report,Uyum Raporu,
Risk Assessment,Risk Degerlendirmesi,
Risk Level,Risk Seviyesi,
Low Risk,Dusuk Risk,
Medium Risk,Orta Risk,
High Risk,Yuksek Risk,
Critical Risk,Kritik Risk,

# Sanctions & Screening
Sanctions Check,Yaptirim Kontrolu,
Screening,Tarama,
Watchlist,Izleme Listesi,
Blacklist,Kara Liste,
Whitelist,Beyaz Liste,
Sanctions Match,Yaptirim Eslesmesi,
False Positive,Yanlis Pozitif,

# Audit
Audit,Denetim,
Audit Trail,Denetim Izi,
Audit Log,Denetim Kaydi,
Compliance Audit,Uyum Denetimi,
Audit Date,Denetim Tarihi,
Auditor,Denetci,
Audit Result,Denetim Sonucu,
Passed,Gecti,
Failed,Basarisiz,

# Consent & Privacy
Consent,Onay,
Privacy Policy,Gizlilik Politikasi,
Terms of Service,Hizmet Sartlari,
Data Processing Agreement,Veri Isleme Sozlesmesi,
GDPR,GDPR,
KVKK,KVKK,
Data Subject Request,Veri Sahibi Basvurusu,
Right to Erasure,Silme Hakki,
Data Retention,Veri Saklama,

# Status Values
Compliant,Uyumlu,
Non-Compliant,Uyumsuz,
Pending Review,Inceleme Bekliyor,
Under Investigation,Sorusturma Altinda,
Approved,Onaylandi,
Rejected,Reddedildi,
Expired,Suresi Dolmus,
